prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
沖縄県,浦添市,Okinawa ,Urasoe,114232,おきなわけん,うらそえし
滋賀県,東近江市,Shiga ,Higashiomi,114180,しがけん,ひがしおうみし
大阪府,富田林市,Osaka ,Tondabayashi,113984,おおさかふ,とんだばやしし
滋賀県,彦根市,Shiga ,Hikone,113679,しがけん,ひこねし
兵庫県,三田市,Hyogo ,Sanda,112691,ひょうごけん,さんだし
大阪府,羽曳野市,Osaka ,Habikino,112683,おおさかふ,はびきのし
埼玉県,加須市,Saitama,Kazo,112229,さいたまけん,かぞし
愛知県,東海市,Aichi,Tokai,111944,あいちけん,とうかいし
東京都,昭島市,Tokyo,Akishima-shi,111539,とうきょうと,あきしまし
埼玉県,ふじみ野市,Saitama,Fujimino,110970,さいたまけん,ふじみのし
福岡県,春日市,Fukuoka ,Kasuga,110743,ふくおかけん,かすがし
岐阜県,多治見市,Gifu ,Tajimi,110441,ぎふけん,たじみし
静岡県,三島市,Shizuoka ,Mishima,110046,しずおかけん,みしまし
香川県,丸亀市,Kagawa ,Marugame,110010,かがわけん,まるがめし
石川県,白山市,Ishikawa ,Hakusan,109287,いしかわけん,はくさんし
千葉県,鎌ケ谷市,Chiba ,Kamagaya-shi,108917,ちばけん,かまがやし
愛媛県,西条市,Ehime ,Saijo,108174,えひめけん,さいじょうし
埼玉県,富士見市,Saitama,Fujimi,108102,さいたまけん,ふじみし
大阪府,河内長野市,Osaka ,Kawachinagano-shi,106987,おおさかふ,かわちながのし
石川県,小松市,Ishikawa ,Komatsu,106919,いしかわけん,こまつし
茨城県,取手市,Ibaraki ,Toride,106570,いばらきけん,とりでし
山形県,酒田市,Yamagata ,Sakata,106244,やまがたけん,さかたし
茨城県,筑西市,Ibaraki ,Chikusei-shi,104573,いばらきけん,ちくせいし
岡山県,津山市,Okayama ,Tsuyama,103746,おかやまけん,つやまし
鹿児島県,鹿屋市,Kagoshima ,Kanoya,103608,かごしまけん,かのやし
大阪府,池田市,Osaka ,Ikeda-shi,103069,おおさかふ,いけだし
埼玉県,坂戸市,Saitama,Sakado-shi,101679,さいたまけん,さかどし
長野県,飯田市,Nagano ,Iida-shi,101581,ながのけん,いいだし
神奈川県,伊勢原市,Kanagawa ,Isehara-shi,101514,かながわけん,いせはらし
福岡県,筑紫野市,Fukuoka ,Chikushino,101081,ふくおかけん,ちくしのし
大阪府,泉佐野市,Osaka ,Izumisano,100966,おおさかふ,いずみさのし
福岡県,大野城市,Fukuoka ,Onojo,99525,ふくおかけん,おおのじょうし
長野県,佐久市,Nagano ,Saku,99368,ながのけん,さくし
新潟県,三条市,Niigata ,Sanjo,99192,にいがたけん,さんじょうし
岐阜県,可児市,Gifu ,Kani-shi,98695,ぎふけん,かにし
新潟県,新発田市,Niigata ,Shibata,98611,にいがたけん,しばたし
栃木県,鹿沼市,Tochigi ,Kanuma,98374,とちぎけん,かぬまし
愛知県,江南市,Aichi,Konan,98359,あいちけん,こうなんし
静岡県,島田市,Shizuoka ,Shimada-shi,98112,しずおかけん,しまだし
岩手県,花巻市,Iwate ,Hanamaki,97702,いわてけん,はなまきし
福岡県,宗像市,Fukuoka ,Munakata,96516,ふくおかけん,むなかたし
福岡県,糸島市,Fukuoka ,Itoshima,96475,ふくおかけん,いとしまし
沖縄県,宜野湾市,Okinawa ,Ginowan,96243,おきなわけん,ぎのわんし
広島県,三原市,Hiroshima,Mihara,96194,ひろしまけん,みはらし
鹿児島県,薩摩川内市,Kagoshima ,Satsumasendai,96076,かごしまけん,さつませんだいし
北海道,千歳市,Hokkaido,Chitose,95648,ほっかいどう,ちとせし
兵庫県,芦屋市,Hyogo ,Ashiya-shi,95350,ひょうごけん,あしやし
長野県,安曇野市,Nagano ,Azumino,95282,ながのけん,あづみのし
茨城県,神栖市,Ibaraki ,Kamisu,94522,いばらきけん,かみすし
岩手県,北上市,Iwate ,Kitakami,93511,いわてけん,きたかみし
長崎県,大村市,Nagasaki ,Omura,92757,ながさきけん,おおむらし
千葉県,印西市,Chiba ,Inzai,92670,ちばけん,いんざいし
富山県,射水市,Toyama ,Imizu,92308,とやまけん,いみずし
秋田県,横手市,Akita,Yokote,92197,あきたけん,よこてし
埼玉県,東松山市,Saitama,Higashimatsuyama,91437,さいたまけん,ひがしまつやまし
兵庫県,高砂市,Hyogo ,Takasago,91030,ひょうごけん,たかさごし
滋賀県,甲賀市,Shiga ,Koka,90901,しがけん,こうかし
三重県,伊賀市,Mie ,Iga,90581,みえけん,いがし
福井県,坂井市,Fukui ,Sakai,90280,ふくいけん,さかいし
千葉県,茂原市,Chiba ,Mobara,89688,ちばけん,もばらし
京都府,亀岡市,Kyoto,Kameoka,89479,きょうとふ,かめおかし
千葉県,四街道市,Chiba ,Yotsukaido-shi,89245,ちばけん,よつかいどうし
岐阜県,高山市,Gifu ,Takayama,89182,ぎふけん,たかやまし
愛知県,大府市,Aichi,Obu,89157,あいちけん,おおぶし
岐阜県,関市,Gifu ,Seki,89153,ぎふけん,せきし
大阪府,貝塚市,Osaka ,Kaizuka,88694,おおさかふ,かいづかし
北海道,室蘭市,Hokkaido,Muroran,88564,ほっかいどう,むろらんし
静岡県,御殿場市,Shizuoka ,Gotemba,88078,しずおかけん,ごてんばし
愛知県,日進市,Aichi,Nisshin,87977,あいちけん,にっしんし
東京都,稲城市,Tokyo,Inagi-shi,87636,とうきょうと,いなぎし
愛媛県,四国中央市,Ehime ,Shikokuchuo,87413,えひめけん,しこくちゅうおうし
奈良県,大和郡山市,Nara ,Yamatokoriyama,87050,ならけん,やまとこおりやまし
愛知県,あま市,Aichi,Ama,86898,あいちけん,あまし
新潟県,柏崎市,Niigata ,Kashiwazaki,86833,にいがたけん,かしわざきし
埼玉県,八潮市,Saitama,Yashio,86717,さいたまけん,やしおし
千葉県,君津市,Chiba ,Kimitsu,86033,ちばけん,きみつし
山形県,米沢市,Yamagata ,Yonezawa,85953,やまがたけん,よねざわし
静岡県,袋井市,Shizuoka ,Fukuroi,85789,しずおかけん,ふくろいし
東京都,東大和市,Tokyo,Higashiyamato,85157,とうきょうと,ひがしやまとし
大阪府,摂津市,Osaka ,Settsu,85007,おおさかふ,せっつし
愛知県,知多市,Aichi,Chita-shi,84617,あいちけん,ちたし
北海道,岩見沢市,Hokkaido,Iwamizawa-shi,84499,ほっかいどう,いわみざわし
神奈川県,綾瀬市,Kanagawa ,Ayase,84460,かながわけん,あやせし
茨城県,牛久市,Ibaraki ,Ushiku,84317,いばらきけん,うしくし
愛知県,北名古屋市,Aichi,Kitanagoya,84133,あいちけん,きたなごやし
京都府,舞鶴市,Kyoto,Maizuru,83990,きょうとふ,まいづるし
大分県,中津市,Oita ,Nakatsu,83965,おおいたけん,なかつし
栃木県,日光市,Tochigi ,Nikko,83386,とちぎけん,にっこうし
秋田県,大仙市,Akita,Daisen,82783,あきたけん,だいせんし
熊本県,天草市,Kumamoto ,Amakusa,82739,くまもとけん,あまくさし
兵庫県,豊岡市,Hyogo ,Toyooka,82250,ひょうごけん,とよおかし
埼玉県,行田市,Saitama,Gyoda,82113,さいたまけん,ぎょうだし
宮城県,登米市,Miyagi ,Tome,81959,みやぎけん,とめし
福井県,越前市,Fukui ,Echizen,81524,ふくいけん,えちぜんし
滋賀県,近江八幡市,Shiga ,Omihachiman,81312,しがけん,おうみはちまんし
愛知県,蒲郡市,Aichi,Gamagori-shi,81100,あいちけん,がまごおりし
東京都,あきる野市,Tokyo,Akiruno,80954,とうきょうと,あきるのし
埼玉県,和光市,Saitama,Wako,80826,さいたまけん,わこうし
愛知県,尾張旭市,Aichi,Owariasahi,80787,あいちけん,おわりあさひし
埼玉県,飯能市,Saitama,Hanno,80715,さいたまけん,はんのうし
東京都,狛江市,Tokyo,Komae,80249,とうきょうと,こまえし
京都府,長岡京市,Kyoto,Nagaokakyo,80090,きょうとふ,ながおかきょうし
秋田県,由利本荘市,Akita,Yurihonjo,79927,あきたけん,ゆりほんじょうし
滋賀県,守山市,Shiga ,Moriyama,79859,しがけん,もりやまし
新潟県,燕市,Niigata ,Tsubame,79784,にいがたけん,つばめし
栃木県,真岡市,Tochigi ,Moka,79539,とちぎけん,もおかし
